127.0.0.1 - - [12/Nov/2017:22:57:39 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:12:07 +0900] "GET /practice/main.html HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:12:27 +0900] "GET /practice/main.html HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:12:39 +0900] "GET /practice/main.html HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:12:57 +0900] "GET /practice/main.html HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:13:09 +0900] "GET /practice/main.html HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:14:31 +0900] "GET /practice/main.html HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:14:43 +0900] "GET /practice/main.html HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:14:43 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:15:18 +0900] "GET /practice/main.html HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:15:34 +0900] "GET /practice/main.html HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:15:41 +0900] "GET /practice/main.html HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:15:51 +0900] "GET /practice/main.html HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:18:15 +0900] "GET /practice/main.html HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:19:11 +0900] "GET /practice/main.html HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:19:26 +0900] "GET /practice/main.html HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:19:40 +0900] "GET /practice/main.html HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:19:56 +0900] "GET /practice/main.html HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:20:57 +0900] "GET /practice/main.html HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:21:07 +0900] "GET /practice/main.html HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:21:53 +0900] "GET /practice/main.html HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:22:02 +0900] "GET /practice/main.html HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:22:26 +0900] "GET /practice/main.html HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:22:40 +0900] "GET /practice/main.html HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:24:34 +0900] "GET /practice/main.html HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:31:29 +0900] "GET /practice/main.html HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:36:03 +0900] "GET /practice/main.html HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:36:03 +0900] "GET /practice/img/eat_it.jpg HTTP/1.1" 200 2766
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:36:21 +0900] "GET /practice/main.html HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:36:21 +0900] "GET /practice/img/eat_it.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:37:03 +0900] "GET /practice/main.html HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:37:03 +0900] "GET /practice/img/eat_it.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:37:34 +0900] "GET /practice/main.html HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:37:34 +0900] "GET /practice/img/eat_it.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:40:48 +0900] "GET /practice/main.html HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:40:48 +0900] "GET /practice/img/eat_it.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:40:56 +0900] "GET /practice/main.html HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:41:09 +0900] "GET /practice/main.html HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:41:17 +0900] "GET /practice/main.html HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:41:52 +0900] "GET /practice/main.html HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:41:52 +0900] "GET /practice/img/eat_it.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:42:03 +0900] "GET /practice/main.html HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:42:25 +0900] "GET /practice/main.html HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:42:33 +0900] "GET /practice/main.html HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:42:33 +0900] "GET /practice/img/eat_it.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:42:40 +0900] "GET /practice/main.html HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:43:00 +0900] "GET /practice/main.html HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:43:21 +0900] "GET /practice/main.html HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:43:21 +0900] "GET /practice/img/eat_it.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:43:39 +0900] "GET /practice/main.html HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:43:48 +0900] "GET /practice/main.html HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:43:58 +0900] "GET /practice/main.html HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:44:04 +0900] "GET /practice/main.html HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:44:17 +0900] "GET /practice/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:44:17 +0900] "GET /practice/img/eat_it.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:44:17 +0900] "GET /practice/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:56:59 +0900] "GET /practice/10/section-article-aside.html HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:56:59 +0900] "GET /practice/10/css/style2.css HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:56:59 +0900] "GET /practice/10/images/2.jpg HTTP/1.1" 200 18506
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:56:59 +0900] "GET /practice/10/images/banner2.png HTTP/1.1" 200 257074
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:56:59 +0900] "GET /practice/10/images/1.jpg HTTP/1.1" 200 11366
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:56:59 +0900] "GET /practice/10/images/4.jpg HTTP/1.1" 200 17884
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:56:59 +0900] "GET /practice/10/images/bg.png HTTP/1.1" 200 430767
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:57:35 +0900] "GET /practice/10/layout_css.html HTTP/1.1" 200 4035
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:57:35 +0900] "GET /practice/10/images/1.png HTTP/1.1" 200 30275
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:57:35 +0900] "GET /practice/10/images/3.png HTTP/1.1" 200 70735
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:57:35 +0900] "GET /practice/10/images/2.png HTTP/1.1" 200 43731
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:57:35 +0900] "GET /practice/10/images/nav2.png HTTP/1.1" 200 8356
